ID,actor_name,county,subcounty,service_category,target_class
1.000000000000000,Wathajir disable org,Garissa,Garissa township,education,children
1.000000000000000,Wathajir disable org,Garissa,Garissa township,education,disabled
1.000000000000000,Wathajir disable org,Garissa,Garissa township,advocacy,children
1.000000000000000,Wathajir disable org,Garissa,Garissa township,advocacy,disabled
1.000000000000000,Wathajir disable org,Garissa,Garissa township,livelihood,children
1.000000000000000,Wathajir disable org,Garissa,Garissa township,livelihood,disabled
2.000000000000000,Community alliance for disability inclusion,Garissa,Garissa township,advocacy,disabled
3.000000000000000,Waberi disable women org,Garissa,Garissa township,protection,children
3.000000000000000,Waberi disable women org,Garissa,Garissa township,protection,disabled
4.000000000000000,Cresent of hope Disability and climate action org,Garissa,Iftin,advocacy,disabled
4.000000000000000,Cresent of hope Disability and climate action org,Garissa,Iftin,protection,disabled
5.000000000000000,Fafi youth empowerment org,Garissa,Fafi,advocacy,disabled
5.000000000000000,Fafi youth empowerment org,Garissa,Fafi,livelihood,disabled
5.000000000000000,Fafi youth empowerment org,Garissa,Fafi,capacity,disabled
6.000000000000000,Garissa county disability org,Garissa,Garissa township,advocacy,disabled
6.000000000000000,Garissa county disability org,Garissa,Garissa township,protection,disabled
6.000000000000000,Garissa county disability org,Garissa,Garissa township,capacity,disabled
7.000000000000000,World Vision Kenya,Mandera,Lafey,cash_support,disabled
7.000000000000000,World Vision Kenya,Mandera,Banisa,cash_support,disabled
8.000000000000000,Danish Refugee Council (DRC),Mandera,Mandera East,capacity,disabled
9.000000000000000,Save the Children,Mandera,Mandera West,livelihood,children
9.000000000000000,Save the Children,Mandera,Mandera West,livelihood,disabled
9.000000000000000,Save the Children,Mandera,Kiliweheri,livelihood,children
9.000000000000000,Save the Children,Mandera,Kiliweheri,livelihood,disabled
10.000000000000000,Mandera County Government,Mandera,Mandera East,education,children
10.000000000000000,Mandera County Government,Mandera,Mandera East,protection,children
10.000000000000000,Mandera County Government,Mandera,Mandera West,education,children
10.000000000000000,Mandera County Government,Mandera,Mandera West,protection,children
10.000000000000000,Mandera County Government,Mandera,Mandera North,education,children
10.000000000000000,Mandera County Government,Mandera,Mandera North,protection,children
10.000000000000000,Mandera County Government,Mandera,Mandere South,education,children
10.000000000000000,Mandera County Government,Mandera,Mandere South,protection,children
10.000000000000000,Mandera County Government,Mandera,Banissa,education,children
10.000000000000000,Mandera County Government,Mandera,Banissa,protection,children
10.000000000000000,Mandera County Government,Mandera,Lafey,education,children
10.000000000000000,Mandera County Government,Mandera,Lafey,protection,children
11.000000000000000,Christian Blind Mission,Embu,Manyatta,education,children
11.000000000000000,Christian Blind Mission,Embu,Manyatta,assistive,disabled
11.000000000000000,Christian Blind Mission,Embu,Manyatta,livelihood,disabled
11.000000000000000,Christian Blind Mission,Embu,Manyatta,health,disabled
11.000000000000000,Christian Blind Mission,Embu,Mbeere South,education,children
11.000000000000000,Christian Blind Mission,Embu,Mbeere South,assistive,disabled
11.000000000000000,Christian Blind Mission,Embu,Mbeere South,livelihood,disabled
11.000000000000000,Christian Blind Mission,Embu,Mbeere South,health,disabled
12.000000000000000,Association of Physically Disabled of Kenya,Embu,Manyatta,education,children
12.000000000000000,Association of Physically Disabled of Kenya,Embu,Manyatta,assistive,disabled
12.000000000000000,Association of Physically Disabled of Kenya,Embu,Manyatta,health,disabled
12.000000000000000,Association of Physically Disabled of Kenya,Embu,Mbeere South,education,children
12.000000000000000,Association of Physically Disabled of Kenya,Embu,Mbeere South,assistive,disabled
12.000000000000000,Association of Physically Disabled of Kenya,Embu,Mbeere South,health,disabled
12.000000000000000,Association of Physically Disabled of Kenya,Embu,Mbeere North,education,children
12.000000000000000,Association of Physically Disabled of Kenya,Embu,Mbeere North,assistive,disabled
12.000000000000000,Association of Physically Disabled of Kenya,Embu,Mbeere North,health,disabled
12.000000000000000,Association of Physically Disabled of Kenya,Embu,Runyenjes,education,children
12.000000000000000,Association of Physically Disabled of Kenya,Embu,Runyenjes,assistive,disabled
12.000000000000000,Association of Physically Disabled of Kenya,Embu,Runyenjes,health,disabled
12.000000000000000,Association of Physically Disabled of Kenya,Embu,Runyenjes,education,children
12.000000000000000,Association of Physically Disabled of Kenya,Embu,Runyenjes,assistive,disabled
12.000000000000000,Association of Physically Disabled of Kenya,Embu,Runyenjes,health,disabled
13.000000000000000,Smile abled differently CBO,Embu,Manyatta,livelihood,disabled
13.000000000000000,Smile abled differently CBO,Embu,Manyatta,health,disabled
13.000000000000000,Smile abled differently CBO,Embu,Manyatta,capacity,disabled
13.000000000000000,Smile abled differently CBO,Embu,Mbeere South,livelihood,disabled
13.000000000000000,Smile abled differently CBO,Embu,Mbeere South,health,disabled
